source_workbook,source_sheet,box_id,box_number,layer,hour,simulation_trial,simulated_value,risk_threshold,is_risky,observed_average,observed_stdev,monte_carlo_mean,monte_carlo_stdev,monte_carlo_min,monte_carlo_max,risk_of_loss_percent
Monte Carlo Method Layer 1.xlsx,L1B1,L1B1,1,1,0,1,-0.2338299323119737,4.0,False,0.275,1.782086791750989,0.16736710491191442,1.8431353336260694,-5.508966439449676,5.849406958146577,1.8
Monte Carlo Method Layer 1.xlsx,L1B1,L1B1,1,1,0,2,1.77765889968203,4.0,False,0.275,1.782086791750989,0.16736710491191442,1.8431353336260694,-5.508966439449676,5.849406958146577,1.8
Monte Carlo Method Layer 1.xlsx,L1B1,L1B1,1,1,0,3,2.7371433729492827,4.0,False,0.275,1.782086791750989,0.16736710491191442,1.8431353336260694,-5.508966439449676,5.849406958146577,1.8
Monte Carlo Method Layer 1.xlsx,L1B1,L1B1,1,1,0,4,0.31856406311641616,4.0,False,0.275,1.782086791750989,0.16736710491191442,1.8431353336260694,-5.508966439449676,5.849406958146577,1.8
Monte Carlo Method Layer 1.xlsx,L1B1,L1B1,1,1,0,5,-0.8895869418651229,4.0,False,0.275,1.782086791750989,0.16736710491191442,1.8431353336260694,-5.508966439449676,5.849406958146577,1.8
Monte Carlo Method Layer 1.xlsx,L1B1,L1B1,1,1,0,6,2.500441494975404,4.0,False,0.275,1.782086791750989,0.16736710491191442,1.8431353336260694,-5.508966439449676,5.849406958146577,1.8
Monte Carlo Method Layer 1.xlsx,L1B1,L1B1,1,1,0,7,-0.36342240702155815,4.0,False,0.275,1.782086791750989,0.16736710491191442,1.8431353336260694,-5.508966439449676,5.849406958146577,1.8
Monte Carlo Method Layer 1.xlsx,L1B1,L1B1,1,1,0,8,2.284481603438356,4.0,False,0.275,1.782086791750989,0.16736710491191442,1.8431353336260694,-5.508966439449676,5.849406958146577,1.8
Monte Carlo Method Layer 1.xlsx,L1B1,L1B1,1,1,0,9,-1.543493843232453,4.0,False,0.275,1.782086791750989,0.16736710491191442,1.8431353336260694,-5.508966439449676,5.849406958146577,1.8
Monte Carlo Method Layer 1.xlsx,L1B1,L1B1,1,1,0,10,0.7367693666622598,4.0,False,0.275,1.782086791750989,0.16736710491191442,1.8431353336260694,-5.508966439449676,5.849406958146577,1.8
